pod,namespace,service,window_end,error_rate,log_volume,unique_error_types,cpu_millicores,memory_mi,error_rate_delta,log_volume_delta
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:21:20Z,0.0,59,0,0.78,32.6,0.0,2
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:21:20Z,0.0,48,0,1.45,32.63,0.0,3
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:21:20Z,0.0,75,0,1.07,34.3,0.0,0
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:21:20Z,0.0,80,0,0.81,27.51,0.0,6
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:21:20Z,0.0,85,0,1.15,34.71,0.0,20
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:21:20Z,0.0,31,0,1.23,26.7,0.0,3
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:21:20Z,0.0,45,0,0.92,32.95,0.0,6
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:22:27Z,0.0,67,0,0.79,32.59,0.0,8
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:22:27Z,0.0,42,0,1.32,32.64,0.0,-6
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:22:27Z,0.0,75,0,1.25,34.3,0.0,0
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:22:27Z,0.0,69,0,0.89,27.51,0.0,-11
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:22:27Z,0.0,75,0,1.39,34.7,0.0,-10
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:22:27Z,0.0,29,0,1.35,26.7,0.0,-2
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:22:27Z,0.0,45,0,1.29,32.96,0.0,0
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:23:33Z,0.0,77,0,0.97,32.59,0.0,10
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:23:33Z,0.0,45,0,1.21,32.65,0.0,3
